name	langscore
George Washington	0
John Adams	4
Thomas Jefferson	10
James Madison	6
James Monroe	2
John Quincy Adams	8
Andrew Jackson	0
Martin Van Buren	3
William Henry Harrison	3
John Tyler	4
James K. Polk	4
Zachary Taylor	0
Millard Fillmore	0
Franklin Pierce	0
James Buchanan	4
Abraham Lincoln	0
Andrew Johnson	0
Ulysses S. Grant	0
Rutherford B. Hayes	4
James A. Garfield	4
Chester A. Arthur	4
Grover Cleveland	0
Benjamin Harrison	0
Grover Cleveland (again)	0
William McKinley	0
Theodore Roosevelt	5
William Howard Taft	0
Woodrow Wilson	2
Warren G. Harding	0
Calvin Coolidge	0
Herbert Hoover	4
Franklin D. Roosevelt	4
Harry S. Truman	0
Dwight D. Eisenhower	0
John F. Kennedy	0
Lyndon B. Johnson	0
Richard Nixon	0
Gerald Ford	0
Jimmy Carter	1
Ronald Reagan	0
George H. W. Bush	0
Bill Clinton	1
George W. Bush	1
Barack Obama	1